Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Tokyo,2020,200,Individual medley,0,Men,SUI,Jeremy Desplanches,01:56.2,3
Tokyo,2020,200,Individual medley,0,Men,JPN,Daiya Seto,01:56.2,4
Tokyo,2020,200,Individual medley,0,Men,USA,Michael Andrew,01:57.3,4
Tokyo,2020,200,Individual medley,0,Men,JPN,Kosuke Hagino,01:57.5,4
Tokyo,2020,200,Individual medley,0,Men,HUN,Laszlo Cseh,01:57.7,4
Tokyo,2020,200,Individual medley,0,Men,NZL,Lewis Clareburt,01:57.7,4
Tokyo,2020,400,Freestyle,0,Men,TUN,Ahmed Hafnaoui,03:43.4,1
Tokyo,2020,400,Freestyle,0,Men,AUS,Jack Mcloughlin,03:43.5,2
Tokyo,2020,400,Freestyle,0,Men,USA,Kieran Smith,03:43.9,3
Tokyo,2020,400,Freestyle,0,Men,GER,Henning Bennet Muhlleitner,03:44.1,4
Tokyo,2020,400,Freestyle,0,Men,AUT,Felix Auboeck,03:44.1,4
Tokyo,2020,400,Freestyle,0,Men,ITA,Gabriele Detti,03:44.9,4
Tokyo,2020,400,Freestyle,0,Men,AUS,Elijah Winnington,03:45.2,4
Tokyo,2020,400,Freestyle,0,Men,USA,Jake Mitchell,03:45.4,4
Tokyo,2020,400,Individual medley,0,Men,USA,Chase Kalisz,04:09.4,1
Tokyo,2020,400,Individual medley,0,Men,USA,Jay Litherland,04:10.3,2
Tokyo,2020,400,Individual medley,0,Men,AUS,Brendon Smith,04:10.4,3
Tokyo,2020,400,Individual medley,0,Men,HUN,David Verraszto,04:10.6,4
Tokyo,2020,400,Individual medley,0,Men,GBR,Max Litchfield,04:10.6,4
Tokyo,2020,400,Individual medley,0,Men,FRA,Leon Marchand,04:11.2,4
Tokyo,2020,400,Individual medley,0,Men,NZL,Lewis Clareburt,04:11.2,4
Tokyo,2020,400,Individual medley,0,Men,ITA,Alberto Razzetti,04:11.3,4
Tokyo,2020,50,Freestyle,0,Men,USA,Caeleb Dressel,21.07,1
Tokyo,2020,50,Freestyle,0,Men,FRA,Florent Manaudou,21.55,2
Tokyo,2020,50,Freestyle,0,Men,BRA,Bruno Fratus,21.57,3
Tokyo,2020,50,Freestyle,0,Men,USA,Michael Andrew,21.6,4
Tokyo,2020,50,Freestyle,0,Men,GBR,Ben Proud,21.72,4
Tokyo,2020,50,Freestyle,0,Men,GRE,Kristian Gkolomeev,21.72,4
Tokyo,2020,50,Freestyle,0,Men,ITA,Lorenzo Zazzeri,21.78,4
Tokyo,2020,50,Freestyle,0,Men,NED,Thom De Boer,21.79,4
Tokyo,2020,800,Freestyle,0,Men,USA,Robert Finke,07:41.9,1
Tokyo,2020,800,Freestyle,0,Men,ITA,Gregorio Paltrinieri,07:42.1,2
Tokyo,2020,800,Freestyle,0,Men,UKR,Mykhailo Romanchuk,07:42.3,3
Tokyo,2020,800,Freestyle,0,Men,GER,Florian Wellbrock,07:42.7,4
Tokyo,2020,800,Freestyle,0,Men,AUS,Jack Mcloughlin,07:45.0,4
Tokyo,2020,800,Freestyle,0,Men,UKR,Serhii Frolov,07:45.1,4
Tokyo,2020,800,Freestyle,0,Men,AUT,Felix Auboeck,07:49.1,4
Tokyo,2020,800,Freestyle,0,Men,BRA,Guilherme Costa,07:53.3,4
Tokyo,2020,100,Backstroke,0,Women,AUS,Kaylee Mckeown,57.47,1
Tokyo,2020,100,Backstroke,0,Women,CAN,Kylie Masse,57.72,2
Tokyo,2020,100,Backstroke,0,Women,USA,Regan Smith,58.05,3
Tokyo,2020,100,Backstroke,0,Women,USA,Rhyan Elizabeth White,58.43,4
Tokyo,2020,100,Backstroke,0,Women,AUS,Emily Seebohm,58.45,4
Tokyo,2020,100,Backstroke,0,Women,GBR,Kathleen Dawson,58.7,4
Tokyo,2020,100,Backstroke,0,Women,NED,Kira Toussaint,59.11,4
Tokyo,2020,100,Backstroke,0,Women,ISR,Anastasya Gorbenko,59.53,4
Tokyo,2020,100,Breaststroke,0,Women,USA,Lydia Jacoby,01:04.9,1
Tokyo,2020,100,Breaststroke,0,Women,RSA,Tatjana Schoenmaker,01:05.2,2
Tokyo,2020,100,Breaststroke,0,Women,USA,Lilly King,01:05.5,3
Tokyo,2020,100,Breaststroke,0,Women,ROC,Evgeniia Chikunova,01:05.9,4
Tokyo,2020,100,Breaststroke,0,Women,ROC,Yuliya Efimova,01:06.0,4
Tokyo,2020,100,Breaststroke,0,Women,SWE,Sophie Hansson,01:06.1,4
Tokyo,2020,100,Breaststroke,0,Women,ITA,Martina Carraro,01:06.2,4
Tokyo,2020,100,Breaststroke,0,Women,IRL,Mona Mc Sharry,01:06.9,4
Tokyo,2020,100,Butterfly,0,Women,CAN,Margaret Mac Neil,55.59,1
Tokyo,2020,100,Butterfly,0,Women,CHN,Yufei Zhang,55.64,2
Tokyo,2020,100,Butterfly,0,Women,AUS,Emma Mckeon,55.72,3
Tokyo,2020,100,Butterfly,0,Women,USA,Torri Huske,55.73,4
Tokyo,2020,100,Butterfly,0,Women,SWE,Louise Hansson,56.22,4
Tokyo,2020,100,Butterfly,0,Women,FRA,Marie Wattel,56.27,4
Tokyo,2020,100,Butterfly,0,Women,SWE,Sarah Sjoestroem,56.91,4
Tokyo,2020,100,Butterfly,0,Women,BLR,Anastasiya Shkurdai,57.05,4
Tokyo,2020,100,Freestyle,0,Women,AUS,Emma Mckeon,51.96,1
Tokyo,2020,100,Freestyle,0,Women,HKG,Siobhan Bernadette Haughey,52.27,2
Tokyo,2020,100,Freestyle,0,Women,AUS,Cate Campbell,52.52,3
Tokyo,2020,100,Freestyle,0,Women,CAN,Penny Oleksiak,52.59,4
Tokyo,2020,100,Freestyle,0,Women,SWE,Sarah Sjoestroem,52.68,4
Tokyo,2020,100,Freestyle,0,Women,NED,Femke Heemskerk,52.79,4
Tokyo,2020,100,Freestyle,0,Women,GBR,Anna Hopkin,52.83,4
Tokyo,2020,100,Freestyle,0,Women,USA,Abbey Weitzeil,53.23,4
Tokyo,2020,1500,Freestyle,0,Women,USA,Katie Ledecky,15:37.3,1
Tokyo,2020,1500,Freestyle,0,Women,USA,Erica Sullivan,15:41.4,2
Tokyo,2020,1500,Freestyle,0,Women,GER,Sarah Kohler,15:42.9,3
Tokyo,2020,1500,Freestyle,0,Women,CHN,Jianjiahe Wang,15:46.4,4
Tokyo,2020,1500,Freestyle,0,Women,ITA,Simona Quadarella,15:54.0,4
Tokyo,2020,1500,Freestyle,0,Women,AUS,Kiah Melverton,16:00.4,4
Tokyo,2020,1500,Freestyle,0,Women,ROC,Anastasiia Kirpichnikova,16:00.4,4
Tokyo,2020,1500,Freestyle,0,Women,AUS,Maddy Gough,16:05.8,4
Tokyo,2020,200,Backstroke,0,Women,AUS,Kaylee Mckeown,02:04.7,1
Tokyo,2020,200,Backstroke,0,Women,CAN,Kylie Masse,02:05.4,2
Tokyo,2020,200,Backstroke,0,Women,AUS,Emily Seebohm,02:06.2,3
Tokyo,2020,200,Backstroke,0,Women,USA,Rhyan Elizabeth White,02:06.4,4
Tokyo,2020,200,Backstroke,0,Women,USA,Phoebe Bacon,02:06.4,4
Tokyo,2020,200,Backstroke,0,Women,CAN,Taylor Madison Ruck,02:08.2,4
Tokyo,2020,200,Backstroke,0,Women,CHN,Xuwei Peng,02:08.3,4
Tokyo,2020,200,Backstroke,0,Women,CHN,Yaxin Liu,02:08.5,4
Tokyo,2020,200,Breaststroke,0,Women,RSA,Tatjana Schoenmaker,02:18.9,1
Tokyo,2020,200,Breaststroke,0,Women,USA,Lilly King,02:19.9,2
Tokyo,2020,200,Breaststroke,0,Women,USA,Annie Lazor,02:20.8,3
Tokyo,2020,200,Breaststroke,0,Women,ROC,Evgeniia Chikunova,02:20.9,4
Tokyo,2020,200,Breaststroke,0,Women,RSA,Kaylene Corbett,02:22.1,4
Tokyo,2020,200,Breaststroke,0,Women,GBR,Molly Renshaw,02:22.7,4
